NationalTeam,link
Australia,https://en.wikipedia.org/wiki/Australia_men%27s_national_soccer_team
Iran,https://en.wikipedia.org/wiki/Iran_national_football_team
Japan,https://en.wikipedia.org/wiki/Japan_national_football_team
Qatar,https://en.wikipedia.org/wiki/Qatar_national_football_team
Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia_national_football_team
South Korea,https://en.wikipedia.org/wiki/South_Korea_national_football_team
Cameroon,https://en.wikipedia.org/wiki/Cameroon_national_football_team
Ghana,https://en.wikipedia.org/wiki/Ghana_national_football_team
Morocco,https://en.wikipedia.org/wiki/Morocco_national_football_team
Senegal,https://en.wikipedia.org/wiki/Senegal_national_football_team
Tunisia,https://en.wikipedia.org/wiki/Tunisia_national_football_team
Canada,https://en.wikipedia.org/wiki/Canada_men%27s_national_soccer_team
Costa Rica,https://en.wikipedia.org/wiki/Costa_Rica_national_football_team
Mexico,https://en.wikipedia.org/wiki/Mexico_national_football_team
United States,https://en.wikipedia.org/wiki/United_States_men%27s_national_soccer_team
Argentina,https://en.wikipedia.org/wiki/Argentina_national_football_team
Brazil,https://en.wikipedia.org/wiki/Brazil_national_football_team
Ecuador,https://en.wikipedia.org/wiki/Ecuador_national_football_team
Uruguay,https://en.wikipedia.org/wiki/Uruguay_national_football_team
Belgium,https://en.wikipedia.org/wiki/Belgium_national_football_team
Croatia,https://en.wikipedia.org/wiki/Croatia_national_football_team
Denmark,https://en.wikipedia.org/wiki/Denmark_national_football_team
England,https://en.wikipedia.org/wiki/England_national_football_team
France,https://en.wikipedia.org/wiki/France_national_football_team
Germany,https://en.wikipedia.org/wiki/Germany_national_football_team
Netherlands,https://en.wikipedia.org/wiki/Netherlands_national_football_team
Poland,https://en.wikipedia.org/wiki/Poland_national_football_team
Portugal,https://en.wikipedia.org/wiki/Portugal_national_football_team
Serbia,https://en.wikipedia.org/wiki/Serbia_national_football_team
Spain,https://en.wikipedia.org/wiki/Spain_national_football_team
Switzerland,https://en.wikipedia.org/wiki/Switzerland_national_football_team
Wales,https://en.wikipedia.org/wiki/Wales_national_football_team
